
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server
 2026-05-04 17:02:18 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 17.73ms
 2026-05-04 17:02:24 / .. ~ 1s
 2026-05-04 17:02:25 /akbulut-emlak-logo-cropped.png .. ~ 0.37ms
 2026-05-04 17:02:25 /favicon.svg .. ~ 0.24ms
 2026-05-04 17:02:25 /_boost/browser-logs .. ~ 0.47ms
 2026-05-04 17:02:25 /favicon.ico .. ~ 0.30ms
 2026-05-04 17:02:28 / .. ~ 503.93ms
 2026-05-04 17:02:28 /akbulut-emlak-logo-cropped.png .. ~ 505.28ms
 2026-05-04 17:02:29 /favicon.svg .. ~ 0.27ms
 2026-05-04 17:02:29 /_boost/browser-logs .. ~ 0.22ms
 2026-05-04 17:02:29 /favicon.ico .. ~ 0.37ms
 2026-05-04 17:02:31 / .. ~ 509.57ms
 2026-05-04 17:02:31 /akbulut-emlak-logo-cropped.png .. ~ 0.47ms
 2026-05-04 17:02:32 /favicon.svg .. ~ 3.17ms
 2026-05-04 17:02:32 /favicon.ico .. ~ 0.56ms
 2026-05-04 17:02:33 /_boost/browser-logs .. ~ 0.40ms
 2026-05-04 17:02:37 /admin/consultants .. ~ 0.40ms
 2026-05-04 17:02:38 /admin/consultants .. ~ 0.57ms
 2026-05-04 17:02:38 /admin/listings .. ~ 0.29ms
 2026-05-04 17:02:18 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 19s
 2026-05-04 17:02:39 /admin/consultants .. ~ 0.74ms
 2026-05-04 17:02:47 / .. ~ 513.50ms
 2026-05-04 17:02:47 /akbulut-emlak-logo-cropped.png .. ~ 516.43ms
 2026-05-04 17:02:48 /_boost/browser-logs .. ~ 1s
 2026-05-04 17:02:50 /favicon.svg .. ~ 0.45ms
 2026-05-04 17:02:50 /favicon.ico .. ~ 0.59ms
 2026-05-04 17:04:15 /contact .. ~ 1s
 2026-05-04 17:04:16 /akbulut-emlak-logo-cropped.png .. ~ 0.23ms
 2026-05-04 17:04:16 /_boost/browser-logs .. ~ 0.44ms
 2026-05-04 17:04:20 /_boost/browser-logs .. ~ 1.81ms
 2026-05-04 17:04:20 / .. ~ 56s
 2026-05-04 17:05:16 /akbulut-emlak-logo-cropped.png .. ~ 1.13ms
 2026-05-04 17:05:17 /favicon.svg .. ~ 0.59ms
 2026-05-04 17:05:17 /_boost/browser-logs .. ~ 0.37ms
 2026-05-04 17:05:17 /favicon.ico .. ~ 0.34ms
 2026-05-04 17:02:50 .. ~ 3m 4s
 2026-05-04 17:05:55 / .. ~ 1s
 2026-05-04 17:05:55 /admin/consultants .. ~ 1s
 2026-05-04 17:05:56 / .. ~ 1s
 2026-05-04 17:05:57 /_boost/browser-logs .. ~ 1s
 2026-05-04 17:05:57 /_boost/browser-logs .. ~ 0.47ms
 2026-05-04 17:05:57 /akbulut-emlak-logo-cropped.png .. ~ 0.27ms
 2026-05-04 17:05:58 /akbulut-emlak-logo-cropped.png .. ~ 0.42ms
 2026-05-04 17:05:57 /akbulut-emlak-logo-cropped.png .. ~ 13.57ms
 2026-05-04 17:05:58 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.52ms
 2026-05-04 17:05:58 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.40ms
 2026-05-04 17:05:58 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 2.52ms
 2026-05-04 17:06:00 /favicon.svg .. ~ 2.68ms
 2026-05-04 17:06:00 /favicon.ico .. ~ 0.88ms
 2026-05-04 17:06:00 /favicon.svg .. ~ 0.48ms
 2026-05-04 17:06:00 /favicon.ico .. ~ 0.42ms
 2026-05-04 17:06:00 /_boost/browser-logs .. ~ 0.30ms
 2026-05-04 17:06:00 /_boost/browser-logs .. ~ 1.60ms
 2026-05-04 17:05:59 /_boost/browser-logs .. ~ 1s
 2026-05-04 17:06:01 /favicon.svg .. ~ 0.60ms
 2026-05-04 17:06:01 /favicon.ico .. ~ 0.53ms
 2026-05-04 17:05:58 .. ~ 1m 37s
 2026-05-04 17:07:52 /admin/login .. ~ 502.13ms
 2026-05-04 17:07:52 /dashboard .. ~ 1s
 2026-05-04 17:07:54 /akbulut-emlak-logo-cropped.png .. ~ 0.31ms
 2026-05-04 17:07:54 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 0.49ms
 2026-05-04 17:07:55 /_boost/browser-logs .. ~ 0.33ms
 2026-05-04 17:07:56 /admin/consultants .. ~ 0.42ms
 2026-05-04 17:07:55 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 1s
 2026-05-04 17:08:51 /admin/consultants .. ~ 2s
 2026-05-04 17:06:01 .. ~ 2m 52s
 2026-05-04 17:08:54 / .. ~ 5s
 2026-05-04 17:08:54 /admin/consultants .. ~ 5s
 2026-05-04 17:08:59 / .. ~ 513.10ms
 2026-05-04 17:08:59 /akbulut-emlak-logo-cropped.png .. ~ 517.01ms
 2026-05-04 17:08:59 /_boost/browser-logs .. ~ 520.55ms
 2026-05-04 17:08:59 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 529.69ms
 2026-05-04 17:08:54 /akbulut-emlak-logo-cropped.png .. ~ 6s
 2026-05-04 17:09:00 /akbulut-emlak-logo-cropped.png .. ~ 7.61ms
 2026-05-04 17:09:00 /favicon.svg .. ~ 16.90ms
 2026-05-04 17:09:00 /favicon.ico .. ~ 0.32ms
 2026-05-04 17:08:59 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 556.67ms
 2026-05-04 17:09:01 /_boost/browser-logs .. ~ 3.16ms
 2026-05-04 17:09:01 /favicon.svg .. ~ 0.37ms
 2026-05-04 17:08:59 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 3s
 2026-05-04 17:09:02 /favicon.ico .. ~ 0.40ms
 2026-05-04 17:09:02 /_boost/browser-logs .. ~ 0.90ms
 2026-05-04 17:09:03 /favicon.svg .. ~ 0.40ms
 2026-05-04 17:09:03 /favicon.ico .. ~ 0.21ms
 2026-05-04 17:09:15 / .. ~ 514.97ms
 2026-05-04 17:09:15 /akbulut-emlak-logo-cropped.png .. ~ 0.55ms
 2026-05-04 17:09:16 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 3.16ms
 2026-05-04 17:09:16 /_boost/browser-logs .. ~ 0.28ms
 2026-05-04 17:09:16 /favicon.svg .. ~ 0.51ms
 2026-05-04 17:09:16 /favicon.ico .. ~ 0.25ms
 2026-05-04 17:09:19 /danisman/bunyamin-eren-ertekin .. ~ 0.50ms
 2026-05-04 17:09:19 /akbulut-emlak-logo-cropped.png .. ~ 0.39ms
 2026-05-04 17:09:20 /_boost/browser-logs .. ~ 39.88ms
 2026-05-04 17:09:21 /_boost/browser-logs .. ~ 517.45ms
 2026-05-04 17:09:21 /admin/settings .. ~ 24s
 2026-05-04 17:09:16 .. ~ 1m 22s
 2026-05-04 17:10:39 / .. ~ 498.78ms
 2026-05-04 17:10:39 /akbulut-emlak-logo-cropped.png .. ~ 500.33ms
 2026-05-04 17:10:39 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.24ms
 2026-05-04 17:10:40 /favicon.svg .. ~ 0.40ms
 2026-05-04 17:10:40 /_boost/browser-logs .. ~ 0.26ms
 2026-05-04 17:10:40 /favicon.ico .. ~ 0.26ms
 2026-05-04 17:10:43 /listings/izmir-alsancak-ticari-ofis .. ~ 501.54ms
 2026-05-04 17:10:43 /favicon.ico .. ~ 502.75ms
 2026-05-04 17:10:45 /_boost/browser-logs .. ~ 501.52ms
 2026-05-04 17:10:45 /listings .. ~ 3s
 2026-05-04 17:10:49 /akbulut-emlak-logo-cropped.png .. ~ 0.36ms
 2026-05-04 17:10:40 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 8s
 2026-05-04 17:10:49 /_boost/browser-logs .. ~ 0.94ms
 2026-05-04 17:10:53 /_boost/browser-logs .. ~ 511.36ms
 2026-05-04 17:10:53 .. ~ 1m 19s
 2026-05-04 17:09:03 .. ~ 3m 8s
 2026-05-04 17:12:13 / .. ~ 6s
 2026-05-04 17:12:19 /admin/settings .. ~ 505.15ms
 2026-05-04 17:12:19 / .. ~ 1s
 2026-05-04 17:12:20 / .. ~ 1s
 2026-05-04 17:12:21 /admin/settings .. ~ 0.74ms
 2026-05-04 17:12:21 /akbulut-emlak-logo-cropped.png .. ~ 3.11ms
 2026-05-04 17:12:21 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 3.28ms
 2026-05-04 17:12:20 /akbulut-emlak-logo-cropped.png .. ~ 1s
 2026-05-04 17:12:22 /favicon.svg .. ~ 0.23ms
 2026-05-04 17:12:22 /_boost/browser-logs .. ~ 0.45ms
 2026-05-04 17:12:22 /favicon.ico .. ~ 0.41ms
 2026-05-04 17:12:22 /akbulut-emlak-logo-cropped.png .. ~ 1.16ms
 2026-05-04 17:12:23 /favicon.svg .. ~ 2.53ms
 2026-05-04 17:12:23 /favicon.ico .. ~ 0.67ms
 2026-05-04 17:12:23 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.44ms
 2026-05-04 17:12:24 /favicon.svg .. ~ 0.78ms
 2026-05-04 17:12:24 /_boost/browser-logs .. ~ 0.31ms
 2026-05-04 17:12:24 /favicon.ico .. ~ 0.58ms
 2026-05-04 17:12:24 /_boost/browser-logs .. ~ 0.30ms
 2026-05-04 17:12:46 /admin/login .. ~ 0.33ms
 2026-05-04 17:12:46 /dashboard .. ~ 509.49ms
 2026-05-04 17:12:21 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 24s
 2026-05-04 17:12:46 /akbulut-emlak-logo-cropped.png .. ~ 2.97ms
 2026-05-04 17:12:47 /_boost/browser-logs .. ~ 0.42ms
 2026-05-04 17:12:47 /admin/settings .. ~ 516.44ms
 2026-05-04 17:13:35 / .. ~ 1s
 2026-05-04 17:13:35 /akbulut-emlak-logo-cropped.png .. ~ 0.41ms
 2026-05-04 17:13:36 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.28ms
 2026-05-04 17:12:24 .. ~ 1m 11s
 2026-05-04 17:13:36 .. ~ 2.58ms
 2026-05-04 17:13:36 /_boost/browser-logs .. ~ 0.40ms
 2026-05-04 17:15:51 / .. ~ 525.50ms
 2026-05-04 17:15:51 /akbulut-emlak-logo-cropped.png .. ~ 1s
 2026-05-04 17:15:52 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 0.87ms
 2026-05-04 17:15:52 /favicon.svg .. ~ 0.42ms
 2026-05-04 17:15:53 /_boost/browser-logs .. ~ 0.55ms
 2026-05-04 17:15:53 /favicon.ico .. ~ 0.36ms
 2026-05-04 17:15:57 /admin/consultants .. ~ 0.44ms
 2026-05-04 17:15:53 /storage/profile-photos/2/7gIEjSm6TEvpPOUtHxw5GRdwMnqhTCE2kSwfLQ53.jpg .. ~ 5s
 2026-05-04 17:16:03 /admin/consultants/2/profile-photo .. ~ 669.92ms
 2026-05-04 17:16:03 /admin/consultants .. ~ 70.54ms
 2026-05-04 17:16:34 /admin/consultants/2/profile-photo .. ~ 0.31ms
 2026-05-04 17:16:34 /admin/consultants .. ~ 0.23ms
 2026-05-04 17:16:35 /admin/consultants/2/profile-photo .. ~ 0.57ms
 2026-05-04 17:16:35 /admin/consultants .. ~ 0.44ms
 2026-05-04 17:16:41 /admin/consultants/2/profile-photo .. ~ 500.54ms
 2026-05-04 17:16:41 /admin/consultants .. ~ 0.29ms
 2026-05-04 17:16:41 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 0.32ms
 2026-05-04 17:16:44 / .. ~ 1s
 2026-05-04 17:16:44 /akbulut-emlak-logo-cropped.png .. ~ 0.24ms
 2026-05-04 17:16:41 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 3s
 2026-05-04 17:16:45 /favicon.svg .. ~ 0.57ms
 2026-05-04 17:16:45 /_boost/browser-logs .. ~ 0.28ms
 2026-05-04 17:16:45 /favicon.ico .. ~ 0.27ms
 2026-05-04 17:17:35 /admin/settings .. ~ 1s
 2026-05-04 17:17:36 /admin/consultants .. ~ 504.71ms
 2026-05-04 17:17:36 / .. ~ 1s
 2026-05-04 17:17:37 /akbulut-emlak-logo-cropped.png .. ~ 0.36ms
 2026-05-04 17:17:37 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 2.20ms
 2026-05-04 17:17:37 /akbulut-emlak-logo-cropped.png .. ~ 0.25ms
 2026-05-04 17:17:38 /akbulut-emlak-logo-cropped.png .. ~ 0.34ms
 2026-05-04 17:17:38 /favicon.svg .. ~ 0.94ms
 2026-05-04 17:17:38 /favicon.ico .. ~ 0.26ms
 2026-05-04 17:17:38 /_boost/browser-logs .. ~ 0.38ms
 2026-05-04 17:17:39 /favicon.svg .. ~ 0.91ms
 2026-05-04 17:17:39 /favicon.ico .. ~ 0.31ms
 2026-05-04 17:17:37 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 1s
 2026-05-04 17:17:39 /favicon.svg .. ~ 0.72ms
 2026-05-04 17:17:39 /favicon.ico .. ~ 0.46ms
 2026-05-04 17:17:39 /_boost/browser-logs .. ~ 0.36ms
 2026-05-04 17:17:39 /_boost/browser-logs .. ~ 0.21ms
 2026-05-04 17:18:22 /admin/consultants/5/profile-photo .. ~ 0.47ms
 2026-05-04 17:18:22 /admin/consultants .. ~ 0.40ms
 2026-05-04 17:18:23 /storage/profile-photos/5/bwjotA9iOkX0FUmYlJTOnoOhLVuaoUFYhAB7i0W5.jpg .. ~ 0.48ms
 2026-05-04 17:18:26 / .. ~ 7s
 2026-05-04 17:18:33 /_boost/browser-logs .. ~ 0.22ms
 2026-05-04 17:18:33 /admin/consultants .. ~ 503.31ms
 2026-05-04 17:18:33 /_boost/browser-logs .. ~ 503.99ms
 2026-05-04 17:18:33 /admin/settings .. ~ 2.21ms
 2026-05-04 17:18:33 / .. ~ 501.41ms
 2026-05-04 17:18:33 /_boost/browser-logs .. ~ 503.77ms
 2026-05-04 17:18:33 /admin/consultants/5/profile-photo .. ~ 508.53ms
 2026-05-04 17:18:34 /_boost/browser-logs .. ~ 508.36ms
 2026-05-04 17:18:23 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 11s
 2026-05-04 17:18:34 /akbulut-emlak-logo-cropped.png .. ~ 509.15ms
 2026-05-04 17:18:34 /akbulut-emlak-logo-cropped.png .. ~ 0.44ms
 2026-05-04 17:18:34 /akbulut-emlak-logo-cropped.png .. ~ 0.53ms
 2026-05-04 17:18:34 /storage/profile-photos/5/bwjotA9iOkX0FUmYlJTOnoOhLVuaoUFYhAB7i0W5.jpg .. ~ 0.33ms
 2026-05-04 17:18:34 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 0.47ms
 2026-05-04 17:18:35 /storage/profile-photos/5/bwjotA9iOkX0FUmYlJTOnoOhLVuaoUFYhAB7i0W5.jpg .. ~ 0.59ms
 2026-05-04 17:18:35 /favicon.svg .. ~ 1.21ms
 2026-05-04 17:18:36 /_boost/browser-logs .. ~ 1.24ms
 2026-05-04 17:18:36 /favicon.ico .. ~ 0.41ms
 2026-05-04 17:18:36 /favicon.svg .. ~ 0.39ms
 2026-05-04 17:18:36 /favicon.ico .. ~ 0.35ms
 2026-05-04 17:18:36 /favicon.svg .. ~ 0.22ms
 2026-05-04 17:18:36 /favicon.ico .. ~ 0.35ms
 2026-05-04 17:18:36 /_boost/browser-logs .. ~ 0.59ms
 2026-05-04 17:18:36 /_boost/browser-logs .. ~ 0.30ms
 2026-05-04 17:18:38 / .. ~ 515.26ms
 2026-05-04 17:18:38 /akbulut-emlak-logo-cropped.png .. ~ 524.10ms
 2026-05-04 17:18:39 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 3.38ms
 2026-05-04 17:18:39 /storage/profile-photos/5/6tHQG6kvuD9rnfbxReNYhBfNQ7zAOqoq7d6pry0y.jpg .. ~ 10.44ms
 2026-05-04 17:18:40 /_boost/browser-logs .. ~ 0.83ms
 2026-05-04 17:18:40 /favicon.svg .. ~ 0.49ms
 2026-05-04 17:18:40 /favicon.ico .. ~ 0.22ms
 2026-05-04 17:18:39 .. ~ 1m 8s
 2026-05-04 17:20:04 /admin/consultants/4/profile-photo .. ~ 0.59ms
 2026-05-04 17:20:04 /admin/consultants .. ~ 0.35ms
 2026-05-04 17:20:05 /storage/profile-photos/4/JB3aC0LRdslTQuvP88nca4LsL4w5MdM2h8yYPWIg.jpg .. ~ 0.42ms
 2026-05-04 17:20:05 /storage/profile-photos/5/6tHQG6kvuD9rnfbxReNYhBfNQ7zAOqoq7d6pry0y.jpg .. ~ 1.75ms
 2026-05-04 17:20:07 / .. ~ 503.17ms
 2026-05-04 17:20:07 /akbulut-emlak-logo-cropped.png .. ~ 1s
 2026-05-04 17:20:05 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 2s
 2026-05-04 17:20:07 /storage/profile-photos/5/6tHQG6kvuD9rnfbxReNYhBfNQ7zAOqoq7d6pry0y.jpg .. ~ 0.76ms
 2026-05-04 17:20:07 /storage/profile-photos/4/JB3aC0LRdslTQuvP88nca4LsL4w5MdM2h8yYPWIg.jpg .. ~ 3.25ms
 2026-05-04 17:20:08 /_boost/browser-logs .. ~ 0.60ms
 2026-05-04 17:20:08 /favicon.svg .. ~ 0.41ms
 2026-05-04 17:20:08 /favicon.ico .. ~ 0.34ms
 2026-05-04 17:20:34 / .. ~ 1s
 2026-05-04 17:20:35 /admin/consultants .. ~ 0.45ms
 2026-05-04 17:20:35 /admin/settings .. ~ 4.79ms
 2026-05-04 17:20:35 /akbulut-emlak-logo-cropped.png .. ~ 0.66ms
 2026-05-04 17:20:35 /akbulut-emlak-logo-cropped.png .. ~ 0.58ms
 2026-05-04 17:20:35 /akbulut-emlak-logo-cropped.png .. ~ 0.72ms
 2026-05-04 17:20:36 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 0.23ms
 2026-05-04 17:20:36 /storage/profile-photos/5/6tHQG6kvuD9rnfbxReNYhBfNQ7zAOqoq7d6pry0y.jpg .. ~ 0.42ms
 2026-05-04 17:20:36 /storage/profile-photos/4/JB3aC0LRdslTQuvP88nca4LsL4w5MdM2h8yYPWIg.jpg .. ~ 0.45ms
 2026-05-04 17:20:36 /storage/profile-photos/2/D8CvVVW0ToVbbBf5hurPrcv5o8DCVu6oHuzkS5i0.jpg .. ~ 0.56ms
 2026-05-04 17:20:36 /storage/profile-photos/5/6tHQG6kvuD9rnfbxReNYhBfNQ7zAOqoq7d6pry0y.jpg .. ~ 0.30ms
 2026-05-04 17:20:36 /favicon.svg .. ~ 0.25ms
 2026-05-04 17:20:36 /favicon.ico .. ~ 0.34ms
 2026-05-04 17:20:36 /storage/profile-photos/4/JB3aC0LRdslTQuvP88nca4LsL4w5MdM2h8yYPWIg.jpg .. ~ 0.51ms
 2026-05-04 17:20:36 /favicon.svg .. ~ 0.40ms
 2026-05-04 17:20:36 /favicon.ico .. ~ 0.59ms
 2026-05-04 17:20:37 /favicon.svg .. ~ 0.47ms
 2026-05-04 17:20:37 /favicon.ico .. ~ 0.29ms
 2026-05-04 17:20:37 /_boost/browser-logs .. ~ 0.85ms
 2026-05-04 17:20:37 /_boost/browser-logs .. ~ 0.38ms
 2026-05-04 17:20:37 /_boost/browser-logs .. ~ 1.77ms
 2026-05-04 17:20:36 .. ~ 1m 2s
 2026-05-04 17:25:12 /listings .. ~ 506.24ms
 2026-05-04 17:25:12 /akbulut-emlak-logo-cropped.png .. ~ 509.13ms
 2026-05-04 17:25:13 /storage/property-images/9/2RkgCfXKm475ETm6IUmKbQJIe3UrdbhYypptK7Ts.jpg .. ~ 0.54ms
 2026-05-04 17:25:14 /_boost/browser-logs .. ~ 0.37ms
 2026-05-04 17:25:15 /admin/login .. ~ 0.98ms
 2026-05-04 17:25:16 /dashboard .. ~ 0.70ms
